2015-07-29 17:29:45 : Time=72522 X=-13979.32421875 Y=11227.09375
2015-07-29 17:29:46 : Time=73549 X=-14170.6474609375 Y=11463.1611328125
2015-07-29 17:29:47 : Time=74563 X=-14354.6162109375 Y=11576.81640625
2015-07-29 17:29:48 : Time=75561 X=-14240.2578125 Y=11753.451171875
2015-07-29 17:29:49 : Time=76571 X=-14249.9599609375 Y=11761.97265625
2015-07-29 17:29:50 : Time=77600 X=-14249.9599609375 Y=11761.97265625
2015-07-29 17:29:51 : Time=78616 X=-14249.9599609375 Y=11761.97265625
2015-07-29 17:29:52 : Time=79628 X=-14249.9599609375 Y=11761.97265625
2015-07-29 17:29:53 : Time=80647 X=-14249.9599609375 Y=11761.97265625
2015-07-29 17:29:54 : Time=81652 X=-14249.9599609375 Y=11761.97265625
2015-07-29 17:29:55 : Time=82661 X=-14305.4384765625 Y=11838.05859375
2015-07-29 17:29:56 : Time=83676 X=-14305.4384765625 Y=11838.05859375
2015-07-29 17:29:57 : Time=84699 X=-14305.4384765625 Y=11838.05859375
2015-07-29 17:29:58 : Time=85719 X=-14305.4384765625 Y=11838.05859375
2015-07-29 17:29:59 : Time=86731 X=-14305.4384765625 Y=11838.05859375
2015-07-29 17:30:00 : Time=87742 X=-14305.4384765625 Y=11838.05859375
2015-07-29 17:30:01 : Time=88753 X=-14305.4384765625 Y=11838.05859375
2015-07-29 17:30:02 : Time=89767 X=-14305.4384765625 Y=11838.05859375
2015-07-29 17:30:03 : Time=90779 X=-14354.923828125 Y=12033.3154296875
2015-07-29 17:30:04 : Time=91777 X=-14366.1259765625 Y=12071.73046875
2015-07-29 17:30:05 : Time=92794 X=-14366.1259765625 Y=12071.73046875
2015-07-29 17:30:06 : Time=93814 X=-14366.1259765625 Y=12071.73046875
2015-07-29 17:30:07 : Time=94815 X=-14366.1259765625 Y=12071.73046875
2015-07-29 17:30:08 : Time=95825 X=-14366.1259765625 Y=12071.73046875
2015-07-29 17:30:09 : Time=96852 X=-14366.1259765625 Y=12071.73046875
2015-07-29 17:30:10 : Time=97863 X=-14366.1259765625 Y=12071.73046875
2015-07-29 17:30:11 : Time=98860 X=-14234.751953125 Y=12209.7919921875
2015-07-29 17:30:12 : Time=99855 X=-14232.158203125 Y=12236.5478515625
2015-07-29 17:30:13 : Time=100879 X=-14232.158203125 Y=12236.5478515625
2015-07-29 17:30:14 : Time=101898 X=-14232.158203125 Y=12236.5478515625
2015-07-29 17:30:15 : Time=102895 X=-14243.52734375 Y=12280.0283203125
2015-07-29 17:30:16 : Time=103908 X=-14300.712890625 Y=12448.5087890625
2015-07-29 17:30:17 : Time=104936 X=-14345.1982421875 Y=12679.2861328125
2015-07-29 17:30:18 : Time=105929 X=-14398.5947265625 Y=12956.2939453125
2015-07-29 17:30:19 : Time=106948 X=-14398.5947265625 Y=12956.2939453125
2015-07-29 17:30:21 : Time=107965 X=-14398.5947265625 Y=12956.2939453125
2015-07-29 17:30:22 : Time=108965 X=-14398.5947265625 Y=12956.2939453125
2015-07-29 17:30:23 : Time=109962 X=-14398.5947265625 Y=12956.2939453125
2015-07-29 17:30:24 : Time=110977 X=-14398.5947265625 Y=12956.2939453125
